text,label,label2,to be removed,merged_labels
"Ajd jour de la finale #FRAARG de la #CoupeDuMonde2022, c'est aussi la Journée internationale des migrants. 
 
 Les ma… https://t.co/RMaO2YParK",None,None,,None
"#2GM, #Pacifique, #Philippines, 18 décembre 1944, un typhon cause de gros dégâts au sein de la IIIe flotte américai… https://t.co/ZAMyUlaSCx",None,None,,None
"Aujourd'hui, c'est la journée internationale des migrant·es. Oussein et Bassaro ont tous les deux quitté le Mali po… https://t.co/ehnEBu20PA",None,None,,None
"Les gros clowns sont de sortie
 Le masculinisme en etendard
 Comment couler un parti : cracher pendant des mois sur l… https://t.co/5vQizgvV2W",,Harassment,,Harassment
"soupe locale. Malheureusement, les NP sont formés localement et ne savent régurgiter que le BPAC et les Health Path… https://t.co/ZSxrzcGg6d",,None,,None
"Jay-Z, Brad Pitt, Tony Parker... les stars investissents dans le champagne, et ça rapporte gros ! ⬇️… https://t.co/stAEPnz0ML",,None,,None
"C'est la Journée internationale des migrant·e·s !
 Contre la loi immigration de Darmanin et la stigmatisation des pe… https://t.co/xNruWvCQn4",,None,,None
@MargauxKer @p_duval @dr_l_alexandre @elonmusk @silvano_trotta Ok Margaux sale pute. Je suis sûre que t'es moche en… https://t.co/RlCMoFImPw,,Hate Speech,,Hate Speech
@MargauxKer @p_duval @dr_l_alexandre @elonmusk @silvano_trotta Du coup demain tu dis à un homo sur Twitter qu'il es… https://t.co/qoVEtPN9u3,,Denigration,,Denigration
RT @MaryC7773: Bravo à Eric Revel qui remet à sa place les affreux gauchistes que sont le gros Dray et l’affreux Zeribi. Ils sont tellement…,,None,,None
RT @basedrightman: Les européens sont les gros pigeons de cette histoire. Comme si il n’y avait que l’Europe qui polluait…,,Hate speech,,Hate speech
"Supporter du foot 
 #CoupeDuMondeFIFA 
 Même si vous aimez le foot ne vous laissez plus manipuler par ce sport qui es… https://t.co/raZGxuzDdG",,None,,None
Devenez migrant l’Etat 🙌vous offre la vie de Château ! 🥹 https://t.co/iK5H7iAyVz https://t.co/7NbjfZ9aer,,None,,None
"@Kako_line Merci pour la mise en avant de ce resultat et ce thread d'analyse très interessants 😊
 Une partie de l'ac… https://t.co/kM30q6PCys",,None,,None
"Quand soudain, le gros lourd du train : ""C'est pour m'éblouir, les gambettes et les paillettes ? C'est réussi ! Moi… https://t.co/3n6GBAyj0z",,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
#Solidarité . Un village de la #Loire se mobilise pour aider un réfugié #ukrainien qui marche plus d'une heure chaq… https://t.co/mLDYsIrlXS,,None,,None
RT @MaghrebDisco: Si les trois ballons d'or français refusent d'asster a la final que joue leur pays...c'est qu'il y a vraiment un gros pro…,,None,,None
"RT @LadyPixie6: Les gens qui utilisent l'argument de la justice réhabilitative pour défendre Quatennens, eh gros sayer :
 
 - Il a pris du su…",,None,,None
Gros scandale entre Gianni Infantino et Achraf Hakimi : « Ce qui s’est passé dans le tunnel.. » https://t.co/EQXGiFctgq,None,None,,None
"@NieulDe Doux dimanche en famille, chère Dianne…Gros bisous, Monique.😘😘😻😻🦋🌺",,None,,None
"@berclazm Reposant dimanche chère Michèle, gros bisous et affectueuses pensées…Monique.🎶❤️🐈‍⬛💃🏽💐",,None,,None
@CassinDe23 @catfan57200 @Coeur_Turquoise @Papounay_ @limon_jaime @Franc_de_Sousse @hagaysobol @JeanneMReinhart Mer… https://t.co/AmMdLmPmOB,,None,,None
@clo1774 des ordures dans 6 mois mon maris cela fera 4 ans qu ils peut plus bouger correctement ses bras ils l ont… https://t.co/k9HK162TEi,,Hate speech,,Hate speech
"chirugien ortho
 Mon mari est limité à 5kg et les bras a 110 degres consolidé sans sequelles 🤔😳 gros problème chez… https://t.co/JxTd8l0HFY",,None,,None
"Journée internationale des migrant·e·s : 1er round contre la loi Darmanin
 
 📅1er round qui démarre à 11h porte de la… https://t.co/I4nRUbNCCK",,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
Journée internationale des migrant·es : lutter contre les atteintes aux droits via @MediapartBlogs https://t.co/PUSiUtYDP3,,Racism,,Racism
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
"RT @TBegoud: J'ai peut être (c'est confirmé) un gros cul, mais au moins je n'ai pas contribué au viol d'une vache, ni à l'enlèvement de son…",Sexual Harassment,Sexual Harassment,,Sexual Harassment
"RT @lthe_z: Très anxieux pour cette finale!
 Heureusement un ami zététicien m'a dit que si on perd c'est parce qu'on aura raison de perdre c…",,None,,None
Je suis mort depuis que la noisette a dit dans un tiktok qu'il avait Kyks comme surnom comment ça prend ça au pied… https://t.co/3gFSgK4P6J,,None,,None
RT @EyeJns: J’ai envie de montrer mais j’aime pas montrer mon gros visage https://t.co/wF69nzNdaE,,None,,None
Argentine-France : gros déséquilibre en tribune #TeamOM 🔵⚪️ https://t.co/IbrohZvkQS,,None,,None
"RT @andre_bellemar3: @RAbsolument Après, est-ce que c’est vraiment un « migrant marocain » ? Rien ne le prouve sur les images, mais c’est e…",,None,,None
Macron donne un gros chèque aux arbitres au quoi??? Autrement je sais pas.. Le mec est trop serein. https://t.co/rkfr1WjZuA,None,Insult,,Insult
RT @ASzulman: @MathieuSlama Non on assiste d'abord à la violence croissante de #Migrant et #musulmans dissimulée par vos amis de gauche et…,,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
@alain_geff C'est en gros ça en effet. Le sous-compteur voit passer 2200W et la puissance nominale est ~5400W. Mon… https://t.co/FQHlEn4kw0,None,None,,None
"RT @MllerQuentin: Volet N*5 et dernier - ITW de Zyad Ibhais, frère de l'embastillé Abdullah, ancien chef des relations médias de l'orga de…",,None,,None
"RT @Maroc1deF: @GilbertCollard Gilbert Collard, merci de supprimer votre tweet.
 
 La Mairie de Calahorra a démenti votre fake news accusant…",,None,,None
@le_Parisien C'est qd ça arrange.Fier que mon pays la France soit multiculturelle mais durant cette période où j'a… https://t.co/yj6vaHkKGt,,None,,None
"RT @CICR_Afrique: « Ça fait 5 ans que je n’ai pas vu mon fils. Je n’ai aucune trace » — Awa, mère d’un migrant disparu.
 
 #JournéeDesMigrant…",,None,,None
RT @E2Villiers: Devenez migrant l’Etat 🙌vous offre la vie de Château ! 🥹 https://t.co/7NbjfZ9aer,None,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
"RT @HeurafoodsFr: L'un des plus gros mythes perpétués par l'industrie de la viande animale, c'est de faire croire que manger de la viande l…",None,None,,None
"RT @CICR_Afrique: « Ça fait 5 ans que je n’ai pas vu mon fils. Je n’ai aucune trace » — Awa, mère d’un migrant disparu.
 
 #JournéeDesMigrant…",,None,,None
"RT @CedricMas: #Ukraine j’ai essayé d’étudier cette vidéo sur le gros.
 (Avec des géolocalisation qui montrent que c’est un survol de l’Est…",,None,,None
⚠️On signale ce matin du verglas en Bretagne avec la pluie arrivant sur des sols encore gelées. Soyez prudent! Le v… https://t.co/sRGaECS6Ks,,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
"RT @CICR_Afrique: « Ça fait 5 ans que je n’ai pas vu mon fils. Je n’ai aucune trace » — Awa, mère d’un migrant disparu.
 
 #JournéeDesMigrant…",,None,,None
"@ARTEfr Gros gros Big UP à la monteuse/monteur de la BA, c'est splendide et donne une furieuse envie de voir le doc 👌",,None,,None
"RT @Kawamatsu95: 🎁 GROS CONCOURS ONE PIECE 🎁
 #ONEPIECE 
 
 À l’occasion des fêtes de fin d’année, moi et @zenmarket_fr on fait gagner la Figu…",,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
RT @Jen_Cleopatra: A quand une miss France avec des gros boobs pour que je me sente enfin représentée ? 😝,,Sexual Harassment,,Sexual Harassment
"@Louislctm @dlgarn75 @juliehenches Tu incombes la saleté et la pollution aux immigrés ""mal éduqués"".
 Je souligne l… https://t.co/cxgZ74iKJE",,None,,None
"RT @lthe_z: Très anxieux pour cette finale!
 Heureusement un ami zététicien m'a dit que si on perd c'est parce qu'on aura raison de perdre c…",,None,,None
"@CalcioMagi @DierrePreossi Ok monsieur le titulaire de la médaille Fields de Twitter (ou dr. en linguistique, comme… https://t.co/FoBXif2ZK7",,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
@KyxQLF Des gros mongole jpleure,Insult,Shaming,,Shaming
@ArobaseAuber La on est sur du gros gros mec bien cringe sans pote IRL qui se lave une fois par semaine ouais,,None,,None
"RT @CICR_Afrique: « Ça fait 5 ans que je n’ai pas vu mon fils. Je n’ai aucune trace » — Awa, mère d’un migrant disparu.
 
 #JournéeDesMigrant…",,None,,None
Un sujet de fascination pour moi c’est ces séances presque vides mais pour lesquelles les gros multiplexes ne propo… https://t.co/oHxXKMVXAv,None,None,,None
@gautoz Et même dans l'édition simple il semblerait que les jeux ne soient pas dans leur meilleure version. Ce gros… https://t.co/ZT21HwwVIz,,None,,None
@ericvidalenc Mais quel guignol ce type...en gros on te met le nez dans ton caca et tu continues à nous soutenir qu… https://t.co/GKGyyeUeRA,,Denigration,,Denigration
@PoppiBuncoart @Qofficiel Il faudrait qu'un psy s'attarde sur ces associations d'idées avec les couleurs. Le résult… https://t.co/tGddbhVPki,,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
RT @E2Villiers: Devenez migrant l’Etat 🙌vous offre la vie de Château ! 🥹 https://t.co/7NbjfZ9aer,None,None,,None
"Alors là… j’adorais Gignac, jusque là. Allez casse toi gros vendu reste au Mexique c’est mieux https://t.co/R6bmcOEPTD",Racism,None,,None
"@PHILBONNE37 Ne vous moquez pas de Gérard Roger , c'est pas de sa faute c'est juste un débile inculte en parlant poliment",,Denigration,,Denigration
@lenaicrobardet @M_Blanpain Eh gros sayé !!!,,None,,None
"@px_xavp Par contre les débile de droite, laissez les militants FI remonter les bretelles eux même de leurs dirigea… https://t.co/2LqAkXt7aw",,Insult,,Insult
"Merci pour vos retours,.vous êtes des amours 😍
 
 Jour de finale 🇨🇵🇦🇷, on a Jeanne Tonic qui est maladou mais ça va o… https://t.co/zxCw9aMOPy",,None,,None
"RT @So_chou_ette: Est ce qu'il choisit la place en haut à droite / gauche pour faire du vice
 Est ce que c'est un gros relou quand il regard…",,None,,None
RT @Kha__dy: Yousra elle me fait pas rire moi perso elle me gêne tellement puis elle commence a me zehef a faire la conne de service,,Harassment,,Harassment
"@DrSabrinaaurora @FrCastex une gifle (et le harcelement qui va avec) c'est une violence conjugale.
 le nier c'est êt… https://t.co/GMvopguqTO",,Harassment,,Harassment
@Paf_le_doc J'ai un gros biais d'observation sans doute (had toussa) mais j'en vois beaucoup de la tazo et même de… https://t.co/Jn2ASPA6Fr,,None,,None
"@Benzema3469 Dembele et aouar n apporte rien :/ il faut masser a autre chose et juste les garder sur le banc...
 
 Dé… https://t.co/j0OYVSiJmj",,None,,None
@lu_ciol_avx Très Gros mais gentil https://t.co/6PpQ35KQGv,,None,,None
"RT @DenisGravouil: Concert des interdits de train : Gare de Lyon à Paris et à Clermont-Ferrand , Lyon … exigeons le droit de voyager avec l…",,None,,None
"@evolilith_ @MarieFossat @survivor_cm @madamebretzel Mais t'es débile ou tu le fais exprès ?
 Sans testostérone, pas… https://t.co/i5AmvEDT7H",,Insult,,Insult
RT @E2Villiers: Devenez migrant l’Etat 🙌vous offre la vie de Château ! 🥹 https://t.co/7NbjfZ9aer,None,None,,None
@fredmusa @Pascal3Cabau @LeaSalame j’ai passer une bonne soirée devant quelle époque et en lisant tous les tweets… https://t.co/ZKDSI6ur4r,,None,,None
"RT @JANGUYENVANTAM: @pjacquemain @GDarmanin Quand ton seul problème est qu’un élu souhaite un joyeux Noel, c’est que t’es vraiment déconnec…",,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",,Racism,,Racism
"RT @LeaFrct: Ma petite sœur de 20 ans étudie à #Bordeaux, elle vient de me raconter sa soirée après France-Maroc. Elle a croisé la route de…",,None,,None
