text,Label
@Amelie_Paul Ce sont des misérables aboyeurs achetés en gros à vils prix plus exactement !,Hate_Speech
@amellinsolente C’est le jnoun de ta mère là grosse pute qui trouve os de repos après sa mort,Hate_Speech
@Amiel_David_ @Elisabeth_Borne @CBeaune @GabrielAttal @BrunoLeMaire @YaelBRAUNPIVET @jrcazeneuve @NadiaHAI78… https://t.co/hpe4t8qyxM,Remove
@amine_umlil Qui sera élu meilleur vrp Pfizer selon vous??? En tout cas ça a l air de rapporter gros,None
@Amiq26362433 @RasLeScoot @ChrisKblock Ces motards ne respectent pas plus le code de la route. Beaucoup d'enfants s… https://t.co/IexWhxe9RB,None
"@AmlieCHAMPAGNE3 C'est tellement débile et prétentieux de penser que ce truc marche un jour...
J'imagine qu'on appr… https://t.co/v1YoLBTSNX",Bullying
@amonyme69 @Henri38910253 @Alala800 @renwez08 @nach_mum @Benzema On se demande qui passe pour un con hein espèce de… https://t.co/z5H5zCGZyL,Hate_Speech
@amrenaudie @binnie Bon j’ai un gros ménage à faire (15h/18h)..par contre à partir de 19h y’a plus personne..grosse… https://t.co/VevLsBWZzV,None
@amthnl @qkjsgfze tu dis ça mais tu l’es des gros mots dans la même phrase ou tu cites الله,None
"@Anass___94 @AmmarAtal Frère c’est vous vous mettez le PSG dans cette case, on fait un gros mercato, 1ere année on… https://t.co/NA4lFg7gAf",None
@annnneeees @TactiqueDZ Mais gros un match ça se joue pas dans le métro qu'est ce que tu reconte 😂,None
"@annnso3 En plus d’être moche et ridicule, ce t-shirt fera rire que les gros beauf 😅 Pauvre France… on devient de p… https://t.co/9TF7rO8siT",Bullying
"@Anonyme75919929 @DamienRieu @equipedefrance @Benzema L’argentine ce pays dans le quel, après guerre les nazis se sont réfugié 😂.",Hate_Speech
@AntoineBonino @JFisel @dc_morel @JLMelenchon Je ne respecte pas les macronistes complètement débile qui utilise ce… https://t.co/j5pMCmCV68,Bullying
@argumente_stp @F_Desouche Pq presque ? Qd je vois par exemple cmt les délinquants sont tenus au Maroc par exemple… https://t.co/U2HC7jJtkn,None
"@arkos55 @PapNdiaye Si seulement on utilisait les mêmes méthodes… répéter le geste, s’entraîner, ne pas changer de… https://t.co/FLcnDMYDqZ",None
@arma_sami @amir_boualam @bearsoulsbf @L_ThinkTank Disons que mes oreilles connaissent l'ensemble des traces sonore… https://t.co/D6gsA419DK,None
@arma_sami @amir_boualam @bearsoulsbf @L_ThinkTank Mélanger la totalité des navires de guerres ne veut strictement… https://t.co/uJg9UDPbsd,None
@Arrete2Tomy Gros respect pour ce qu’il fait à coté mais là cst ridicule mddr,None
"@ArSaintMartin @picharbonnier T'en avais du temps à perdre dis donc pour nous concocter ce petit même, gros bosseur… https://t.co/CpYsfVXPlY",None
@asnatou89 @jsuis_amoureuse @LkhYoussra Et ma sœur sa sert a rien de discuter avec les folles algérienne elles ont… https://t.co/wunT6JIuaE,Racism
@asnatou89 @LkhYoussra C’est toi qui a le seum d´elle sale traînée va relis mon commentaire sale grosse crasseuse de ta mère la pute,Sexism
@AstroVicnet Le plus gros propoteur de jeux d argents c est l état avec la française des jeux...,None
@Atejo5 Donc en gros tu vas.te battre contre quelqu'un qui sur le papier est plus fort que toi... Et tu lances une… https://t.co/7qKUOQcM73,None
@Atlanta2114 @SBEN1272 @Isabel723277471 @urbany73 @Pilotte_daniel @anjie2fce @Frannycrazy13 @PhilippeDubarr2 Coucou… https://t.co/fcwB088zf3,Remove
@Atlanta2114 Bonjour ma chérie de gros bisous 😘🙏💋😘🥰🎅🎄,None
@avi_atias Fils de pute,Sexism
"@AymenRMAA tant mieux qu'il ne joue pas la finale . Si il joue et ils perdent, ils diront tous que c'est de sa faut… https://t.co/eDnNLcaToY",None
@Aymentheee dommage que ce soit un gros lard maintenant,Bullying
@ayoub934v @KoumoBur Ah ouais t vraiment gros,Bullying
@b_montcuq On va éviter vos gros bisous..hein ? 😅 vous êtes enrhumé 😂😂 https://t.co/4IUDuG0TdY,None
"@B444EN @MhouTips @EspoirsduFoot Je m’excite 🤣, ok gros. Ton intervention est agressive la mienne non. Si dire qu’o… https://t.co/CtsA7eR5rt",None
@Babou_le_vrai @SGCad4 @F_Desouche Oui mais Apathie est un gros sac à merde on a l’habitude depuis le temps,Bullying
@BABYFAN13 @fredmusa Oh encore une grosse conne qui n'accepte pas la critique et n'accepte pas limmondicite de son partis.,Bullying
@babykhleo Je suis un corse pas un gaulois . J'ai jamais baissé la tête devant personne et sûrement pas pour vos vi… https://t.co/E3DUwlIZim,None
@Babylon67681621 @ActuFoot_ @RMCsport Le plus débile des tweets que j'ai lu😂😂😂,None
@BacinPv et oe chéri gros comeback en legende,None
@baddestines @QUEEREALIFE Mais t’es trop conne même quand on veut être gentille avec vous vous gazer espèce d’idiot… https://t.co/ZumjkMtog6,Bullying
"@BaillyLouise Bonjour Louise, bon dimanche à toi et à Kitty, plein de gros bisous bien chauds ❤️😽😘",None
@BalbisIsabelle @JeanneLaJungle @CGTlibraBZH @LalobaRose @Clem_Autain @alexiscorbiere C'est bien de poser une quest… https://t.co/04bxTp5ckT,None
@banvnentfc C quoi ce gros Fake mdr,None
"@barriere_dr Ah bah ça va alors , ils sont pas morts tout va bien gros fils de pute",Hate_Speech
@barriere_dr donc en gros vous etes en train de nous dire que les myocardites c peanuts?,None
"@barriere_dr Oui mais on revient toujours au point de départ, ca n'empêche pas la transmission, donc en gros 2 dose… https://t.co/FrpF88HLjr",None
"@Barto2leretour Eh ouais gros ont a fait un concert soutien à Adama , ont avaient tous une fourchette à la main gro… https://t.co/5x7oLNfLKf",None
@batm0an_ Gros wtf ce qu'elle raconte,None
@bato_ssb Merci beaucoup gros crack 👊,None
@Batshuayinho91 Ptddrrrrr j'avais pas besoin de voir gros,None
@BazinYannick @wargonm ...t'aura toujours la même bande de débile en pleine dissonance incapable d'accepter d'être… https://t.co/qEwL8Q0ITZ,None
@BebetoFCB Ouais negro,Racism
@Bellinarg4 @EspranceFrance1 Ce pape doit être tenu par les c…… ça ne serait pas étonnant que de gros scandales sur lui émergent un jour !!,None
"@benedissam @YohanIsBack @nuevenueve13 @ActuFoot_ @RMCsport Quels cadres ? Preuves ?
T'en sais rien mddr vas la bas gros plein de soupe",None
"@benjamin_lachi @amonyme69 @JessyMbuluyo @FranceRMCF Regarde à qui il est abonné lol. 3 abonnements, l'équipe de fo… https://t.co/wcBMCfXEkg",None
@benoit_joseph @KemiSeba1 Lorsque c'est Kemi Seba c'est business lucratif mais lorsque c'est vos chaînes de propaga… https://t.co/QxMhkpc5u9,None
@BensB051 @delibera_hoc @Twitter @Le_Figaro Débile citez moi un seul tweet diffamatoire de ma part! L’ignorance et… https://t.co/bLu0lh2P09,None
"@Benvoyo12725596 @hugo_apolline @LFrappat @JRochedy Par contre argument débile et raciste, il y a pas d'immigration… https://t.co/6W8ekYxJV4",None
"@bert2195 @Samuel_Lafont Attention, t'as fais tombé ton cerveau de facho débile.",Bullying
@Betclic @ActuFoot_ Et là on défonce ce gros nain,Hate_Speech
"@bewellbekind_ Bah là c’est le gros bordel, on ne sait pas où aller pour les extras, au micro on entends et comprends rien",None
@BFMTV @AQuatennens #Quatennens en col ouvert et le gros bouffon bien soumis en col roulé... Il n'a pas encore été… https://t.co/5bzU3GseGD,Sexism
@BFMTV Les français qui ne supporte pas la France sont juste des gros footix,None
@BFMTV On va avoir droit à cette info débile tous les jours ?,None
@Bigbeboy @littlebeboy On est en public bande de gros dégueulasses ça suffit maintenant,None
"@BilgerPhilippe @lequipe Dans un pays de dormeurs, plus c'est gros et plus ça passe, c'est aussi ça la chienlit ins… https://t.co/axV32d1QvS",None
@BILKA665 @Le_P36K @Gordonjjb @Egzon_kb Ptn t’es un bon gros fdp tu parles pour rien dire c trop,Hate_Speech
@biltouxette Merci gros bisous 😘,None
@bindou01 @AG13072014 @ALeaument C'est pas comme si dès qu'il en avait eu la possibilité il n'avait pas posé de bon… https://t.co/xZ79H8pxcV,None
@bindou01 @AG13072014 @ALeaument Comment dès lors penser qu'il sera plus réglo si par exemple il met la main sur de… https://t.co/6Lbr7fCuF5,None
"@BizzyR9 @NostradamusPro C est bizarre, il m a blackliste ce débile, trou du c... de nostra...",Bullying
"@BlackAsta__ @LongLiveAissa tranquille je te crois, mais pourquoi il prouve pas que c’est un renoi c’est bizarre non",Racism
@blackstosaki @Shyowhynot Attention à ce que tu réponds gros,Bullying
@blatarder_zer @LMDFoot_ Il n'y a que des gros raslar dans ce pays surtout,None
@bledardm3assab @Samarkandy1 @MoorishMovement D'être des gros débiles mentaux aliénés et soumis au panarabisme,Hate_Speech
@blowddy4_0 @OctaveOctaveDO @boulegues justement ceux qui ont des gros salaires en intérim comme les CDI intérimair… https://t.co/AxBw6BiEsF,None
@BlumEtienne Bon anniv gros bg,None
"@bobostarr93 @MoinePaladin @maxmntl Ah ah gros GG 💪

Effectivement, bosser en ligne avant l'immo, je te suis carrément !",None
@booska_p C'est bon le mec est le plus gros chat noir sportif de l'histoire...,None
"@Born4ready @alxtwd @RMCsport C'est l'équipe de France qui ne veut pas qu'il soit indispensable
Certains ont un gro… https://t.co/MOOstPBYA5",None
@BosonDeHiggs4 Un gros français ne te sauvera pas de ta bêtise ! Oh non… continue à prendre ton cerveau pour un obj… https://t.co/YVAW733NFP,Bullying
@boss_switch Gros y a personne d’autre ????,None
@Boukhalfanordi4 @Dr_Madridistaa @docnono2000 @Dannnaooo31 @DZFOOTBALLDZ Après je pense que c'est a cause de l'immi… https://t.co/M3B6ANuKkq,Remove
@bouliquen @UPR_Asselineau Ici le plus gros collabo que je vois et à qui j’ai envi de dire ta gueule c’est toi ma grosse,Bullying
@boursiton @ManuelDUPONT7 Ben Macron ça représente quand même 10 ans sur les 20.🤔,None
"@BoyFeet69_ @nude_tvr Alors lui je suis sa chienne H24 , belle gueule , bien foutu , un bon gros zob , intelligent,… https://t.co/tZye3VDWmM",None
@BoyFeet69_ @nude_tvr C’ est un gros sale en fait 🤢,Hate_Speech
@Bphegorswiss Ah bah tu pourrais même déposer plainte pour harcèlement moral. Les visites à répétition sur le lieu… https://t.co/H1CQYFTetA,None
"@BrahimTouza @MoiAussi_ Attend, attend, t as un renoi qui a accepté de faire un feat pareil???!",Racism
@Brandioo_ Ah nan là mon renoi tu tbranles vrmt vrmt,Racism
@BrendaMateck @Mr_philanthrope Bizarre ..ya des gens qui aime skinny hin.  Pour toi là c'est avec gros ventre oub..… https://t.co/crrKwZqG7W,Bullying
@BrendaMateck @Mr_philanthrope skiny avec gros ventre ?,Bullying
"@BriceOf_Lyon Pays patriarcal où les hommes sont des gros bourrins biberonné au foot et au porno. Misogynie, violen… https://t.co/lSGCjfCPUc",Sexism
"@BriceOf_Lyon Sans déconner,et y'a pas de thune pour nos putains de retraites !!!! Quel gros sac à merde !!!!!!",Hate_Speech
@brnoteasy T’as un gros ventre,Hate_Speech
"@BrochardR Bonjour Roland, bon dimanche, gros bisous 😘🙏🥶",None
@brrrrrrrrr14000 @heyomeech956 En gros il re parle du baille sur les argentins sont argentins alors que les françai… https://t.co/a5bTdSCAm8,None
"@brunogarcez @adamsolomons5 @LBC Le super ami de votre reine maîtresse,la cochonne tampax raciste Camelot.pourquoi… https://t.co/4TkhQN8eY5",Hate_Speech
@bukoluciowski @ArnaultRaphael @prefetrhone Faut être bons joueurs. Et puis vous avez l'habitude de prendre des bra… https://t.co/eJtvKdYlkX,None
@CactusPhallus @ParlonsFootFCB T'as fais quoi ?? 😭😭 purée dis moi que tu fais exprès t'es pas si debile que ça.,Bullying
"@calculmental @jrechagneux Ce type est le plus gros scandale, une énorme imposture à la tête de la France 🇫🇷.Mais l… https://t.co/EAkV8hU1jd",None
"@calounettes Bonjour ma coquine 🥶 -7° à glagla 😁 🎄💚🌲🍀🎀🎅✨🎀
Je te souhaite une bonne journée un bon dimanche tu es pr… https://t.co/E7SjxHDz36",None
@calounettes Bonjour Pascale c est avec plaisir merci très bon dimanche gros bisous...☕🥐🐈😘😘😘,None
@calounettes Merci ma Pascale passe un bon dimanche gros bisous 😘😘😘😘,None
@camzzerr Pute ? Je ne comprendrais jamais pourquoi on insulte pour défendre une noble cause…? Frustration de ne pa… https://t.co/xn17lUBtea,None
@carmene_feliz @Cobrakima @LeRetourDeSmart @charmaine_mg Rho ferme  ta gueule on t’as pas sonner connasse,Hate_Speech
"@caroline_kam non, gros rhume mais en pleine forme",None
@CassiesLola Bonjour Emma belle journée bon Dimanche gros bisous quel grand bordelas 😂😂😂👌😘❤️🤗❤️🥰❤️💐❤️☀️❤️🕊️❤️ https://t.co/YguxPrK1tT,None
"@Catheri90493432 @UPR_Asselineau C’était ironique, faut réussir à saisir les nuances parfois avant de l’ouvrir, non… https://t.co/h71L1k3NNg",None
@Catonlejeune @tonion_c @jccambadelis Peut être bien qu’il y a assez de citoyens qui veulent un parti vraiment soci… https://t.co/ccUw0MG2B5,None
@cavousf5 @PierreServent Non mais quel gros con… ! Faut vraiment aller chercher ce genre d’argumentation : reprendr… https://t.co/XTItO4Gmen,Hate_Speech
@CazeelPhilippe @Renkatroussier2 Ça ne vaut pas explication sur ce qui c'est passé et qui sont les auteurs mais ça… https://t.co/fVKrTJmbZg,None
"@CBoucher48 😁
Bon dimanche Christine ♥️ gros bisous 😘😘",None
@cclaraa15 dis toi que s’il perd des gens vont dire « le mec à perdu 2 finales et c’est votre goat? il est nul » ça… https://t.co/ny6nfTmfvw,None
"@Cdanslair En gros, il faut se vacciner tous les trois mois",None
@CDGHospit @CTrivalle Ben le sujet c’est les IPA c’edt gros nul qui vont piquer le boulot des docteurs en tuant les… https://t.co/jyMNYjbapS,Hate_Speech
"@cduflan @InnaDiYard78 @DamienRieu @MargauxDeRe Accuser qqn à tort sur la place publique d'un pays autre
puisqu'ell… https://t.co/DAXdkYutm5",None
@celinetasset Ce # n'existerait pas si il n'y avais pas eu de harcèlement des le début et qu'il l'avais laisser tra… https://t.co/vcTqK9Uqv4,None
@CEncoreMoiEvan je suis trop conne je l’ai pas écrit,None
"@cestmoitim @ExhoPapa Je suis tout à fait d’accord avec toi, maintenant de la à remettre la faute sur les PDAP alor… https://t.co/Xeb4sLQubO",None
@cfootcameroun @90footballFr Gros mouilleur,Bullying
@CharlesConsigny Tweet totalement débile … normal pour un nul qui passe sur la chaîne des #fachos #CNews,Hate_Speech
